X1,category,sample,counts,lab,lib_method_simple,lane,replicate
254,iso_add_sum,Plas_N13_S13_L008_R1_001,52150,Lab4,NEBNext,NA,1
255,iso_add_sum,Plas_N14_S14_L008_R1_001,53614,Lab4,NEBNext,NA,2
256,iso_add_sum,Plas_N15_S15_L008_R1_001,53084,Lab4,NEBNext,NA,3
257,iso_add_sum,Plas_N16_S16_L008_R1_001,38067,Lab4,NEBNext,NA,4
274,iso_add_sum,PlasmaMP-TruSeq-1,311722,Lab2,TrueSeq,NA,1
275,iso_add_sum,PlasmaMP-TruSeq-2,321504,Lab2,TrueSeq,NA,2
276,iso_add_sum,PlasmaMP-TruSeq-3,274326,Lab2,TrueSeq,NA,3
277,iso_add_sum,PlasmaMP-TruSeq-4,300848,Lab2,TrueSeq,NA,4
278,iso_add_sum,PlasmaTruSeq-1_63786_CCGTCC_S5_L006_R1_001,353e3,Lab5,TrueSeq,NA,1
279,iso_add_sum,PlasmaTruSeq-2_63787_GTAGAG_S6_L006_R1_001,432365,Lab5,TrueSeq,NA,2
280,iso_add_sum,PlasmaTruSeq-3_63788_GTCCGC_S7_L006_R1_001,415833,Lab5,TrueSeq,NA,3
281,iso_add_sum,PlasmaTruSeq-4_63789_GTGAAA_S8_L006_R1_001,459558,Lab5,TrueSeq,NA,4
282,iso_add_sum,TruSeq_Plasma_1_S123_L008_R1_001,906,Lab1,TrueSeq,NA,1
283,iso_add_sum,TruSeq_Plasma_2_S124_L008_R1_001,1948,Lab1,TrueSeq,NA,2
284,iso_add_sum,TruSeq_Plasma_3_S125_L008_R1_001,2868,Lab1,TrueSeq,NA,3
285,iso_add_sum,TruSeq_Plasma_4_S126_L008_R1_001,1268,Lab1,TrueSeq,NA,4
329,iso_snp_sum,DE-PlasmaMP-NEB-1_S1_R1_001,21142,Lab1,NEBNext,NA,1
330,iso_snp_sum,DE-PlasmaMP-NEB-2_S2_R1_001,19282,Lab1,NEBNext,NA,2
331,iso_snp_sum,DE-PlasmaMP-NEB-3_S3_R1_001,15503,Lab1,NEBNext,NA,3
332,iso_snp_sum,DE-PlasmaMP-NEB-4_S4_R1_001,14839,Lab1,NEBNext,NA,4
333,iso_snp_sum,DG-PlasmaMP-NEB-1_S18_R1_001,20918,Lab2,NEBNext,NA,1
334,iso_snp_sum,DG-PlasmaMP-NEB-2_S19_R1_001,19235,Lab2,NEBNext,NA,2
335,iso_snp_sum,DG-PlasmaMP-NEB-3_S20_R1_001,19924,Lab2,NEBNext,NA,3
336,iso_snp_sum,DG-PlasmaMP-NEB-4_S21_R1_001,19755,Lab2,NEBNext,NA,4
345,iso_snp_sum,NEB-Plasma-1_S85553_AGTCAA,16776,Lab5,NEBNext,NA,1
346,iso_snp_sum,NEB-Plasma-3_S85555_ATGTCA,12553,Lab5,NEBNext,NA,3
347,iso_snp_sum,NEB-Plasma-4_S85556_CCGTCC,17288,Lab5,NEBNext,NA,4
348,iso_snp_sum,PT_37_S5_L001_R1_001,1029,Lab4,TrueSeq,NA,1
349,iso_snp_sum,PT_38_S6_L001_R1_001,1006,Lab4,TrueSeq,NA,2
350,iso_snp_sum,PT_39_S7_L001_R1_001,1083,Lab4,TrueSeq,NA,3
351,iso_snp_sum,PT_40_S8_L001_R1_001,950,Lab4,TrueSeq,NA,4
356,iso_snp_sum,Plas_N13_S13_L008_R1_001,1450,Lab4,NEBNext,NA,1
357,iso_snp_sum,Plas_N14_S14_L008_R1_001,1454,Lab4,NEBNext,NA,2
358,iso_snp_sum,Plas_N15_S15_L008_R1_001,1587,Lab4,NEBNext,NA,3
359,iso_snp_sum,Plas_N16_S16_L008_R1_001,1063,Lab4,NEBNext,NA,4
376,iso_snp_sum,PlasmaMP-TruSeq-1,3782,Lab2,TrueSeq,NA,1
377,iso_snp_sum,PlasmaMP-TruSeq-2,4173,Lab2,TrueSeq,NA,2
378,iso_snp_sum,PlasmaMP-TruSeq-3,3243,Lab2,TrueSeq,NA,3
379,iso_snp_sum,PlasmaMP-TruSeq-4,3609,Lab2,TrueSeq,NA,4
380,iso_snp_sum,PlasmaTruSeq-1_63786_CCGTCC_S5_L006_R1_001,1794,Lab5,TrueSeq,NA,1
381,iso_snp_sum,PlasmaTruSeq-2_63787_GTAGAG_S6_L006_R1_001,2176,Lab5,TrueSeq,NA,2
382,iso_snp_sum,PlasmaTruSeq-3_63788_GTCCGC_S7_L006_R1_001,2075,Lab5,TrueSeq,NA,3
383,iso_snp_sum,PlasmaTruSeq-4_63789_GTGAAA_S8_L006_R1_001,2378,Lab5,TrueSeq,NA,4
384,iso_snp_sum,TruSeq_Plasma_1_S123_L008_R1_001,31,Lab1,TrueSeq,NA,1
385,iso_snp_sum,TruSeq_Plasma_2_S124_L008_R1_001,459,Lab1,TrueSeq,NA,2
386,iso_snp_sum,TruSeq_Plasma_3_S125_L008_R1_001,760,Lab1,TrueSeq,NA,3
387,iso_snp_sum,TruSeq_Plasma_4_S126_L008_R1_001,258,Lab1,TrueSeq,NA,4
431,iso_snp+central_sum,DE-PlasmaMP-NEB-1_S1_R1_001,14010,Lab1,NEBNext,NA,1
432,iso_snp+central_sum,DE-PlasmaMP-NEB-2_S2_R1_001,12861,Lab1,NEBNext,NA,2
433,iso_snp+central_sum,DE-PlasmaMP-NEB-3_S3_R1_001,10080,Lab1,NEBNext,NA,3
434,iso_snp+central_sum,DE-PlasmaMP-NEB-4_S4_R1_001,9551,Lab1,NEBNext,NA,4
435,iso_snp+central_sum,DG-PlasmaMP-NEB-1_S18_R1_001,13943,Lab2,NEBNext,NA,1
436,iso_snp+central_sum,DG-PlasmaMP-NEB-2_S19_R1_001,13092,Lab2,NEBNext,NA,2
437,iso_snp+central_sum,DG-PlasmaMP-NEB-3_S20_R1_001,13974,Lab2,NEBNext,NA,3
438,iso_snp+central_sum,DG-PlasmaMP-NEB-4_S21_R1_001,12410,Lab2,NEBNext,NA,4
447,iso_snp+central_sum,NEB-Plasma-1_S85553_AGTCAA,10762,Lab5,NEBNext,NA,1
448,iso_snp+central_sum,NEB-Plasma-3_S85555_ATGTCA,7891,Lab5,NEBNext,NA,3
449,iso_snp+central_sum,NEB-Plasma-4_S85556_CCGTCC,10883,Lab5,NEBNext,NA,4
450,iso_snp+central_sum,PT_37_S5_L001_R1_001,834,Lab4,TrueSeq,NA,1
451,iso_snp+central_sum,PT_38_S6_L001_R1_001,892,Lab4,TrueSeq,NA,2
452,iso_snp+central_sum,PT_39_S7_L001_R1_001,989,Lab4,TrueSeq,NA,3
453,iso_snp+central_sum,PT_40_S8_L001_R1_001,805,Lab4,TrueSeq,NA,4
458,iso_snp+central_sum,Plas_N13_S13_L008_R1_001,1081,Lab4,NEBNext,NA,1
459,iso_snp+central_sum,Plas_N14_S14_L008_R1_001,1104,Lab4,NEBNext,NA,2
460,iso_snp+central_sum,Plas_N15_S15_L008_R1_001,1211,Lab4,NEBNext,NA,3
461,iso_snp+central_sum,Plas_N16_S16_L008_R1_001,779,Lab4,NEBNext,NA,4
478,iso_snp+central_sum,PlasmaMP-TruSeq-1,2024,Lab2,TrueSeq,NA,1
479,iso_snp+central_sum,PlasmaMP-TruSeq-2,2170,Lab2,TrueSeq,NA,2
480,iso_snp+central_sum,PlasmaMP-TruSeq-3,1647,Lab2,TrueSeq,NA,3
481,iso_snp+central_sum,PlasmaMP-TruSeq-4,1844,Lab2,TrueSeq,NA,4
482,iso_snp+central_sum,PlasmaTruSeq-1_63786_CCGTCC_S5_L006_R1_001,951,Lab5,TrueSeq,NA,1
483,iso_snp+central_sum,PlasmaTruSeq-2_63787_GTAGAG_S6_L006_R1_001,1147,Lab5,TrueSeq,NA,2
484,iso_snp+central_sum,PlasmaTruSeq-3_63788_GTCCGC_S7_L006_R1_001,1206,Lab5,TrueSeq,NA,3
485,iso_snp+central_sum,PlasmaTruSeq-4_63789_GTGAAA_S8_L006_R1_001,1294,Lab5,TrueSeq,NA,4
486,iso_snp+central_sum,TruSeq_Plasma_1_S123_L008_R1_001,20,Lab1,TrueSeq,NA,1
487,iso_snp+central_sum,TruSeq_Plasma_2_S124_L008_R1_001,446,Lab1,TrueSeq,NA,2
488,iso_snp+central_sum,TruSeq_Plasma_3_S125_L008_R1_001,636,Lab1,TrueSeq,NA,3
489,iso_snp+central_sum,TruSeq_Plasma_4_S126_L008_R1_001,263,Lab1,TrueSeq,NA,4
533,iso_snp_central_offset_sum,DE-PlasmaMP-NEB-1_S1_R1_001,4627,Lab1,NEBNext,NA,1
534,iso_snp_central_offset_sum,DE-PlasmaMP-NEB-2_S2_R1_001,3959,Lab1,NEBNext,NA,2
535,iso_snp_central_offset_sum,DE-PlasmaMP-NEB-3_S3_R1_001,3269,Lab1,NEBNext,NA,3
536,iso_snp_central_offset_sum,DE-PlasmaMP-NEB-4_S4_R1_001,3088,Lab1,NEBNext,NA,4
537,iso_snp_central_offset_sum,DG-PlasmaMP-NEB-1_S18_R1_001,5266,Lab2,NEBNext,NA,1
538,iso_snp_central_offset_sum,DG-PlasmaMP-NEB-2_S19_R1_001,4797,Lab2,NEBNext,NA,2
539,iso_snp_central_offset_sum,DG-PlasmaMP-NEB-3_S20_R1_001,5245,Lab2,NEBNext,NA,3
540,iso_snp_central_offset_sum,DG-PlasmaMP-NEB-4_S21_R1_001,4717,Lab2,NEBNext,NA,4
549,iso_snp_central_offset_sum,NEB-Plasma-1_S85553_AGTCAA,3375,Lab5,NEBNext,NA,1
550,iso_snp_central_offset_sum,NEB-Plasma-3_S85555_ATGTCA,2287,Lab5,NEBNext,NA,3
551,iso_snp_central_offset_sum,NEB-Plasma-4_S85556_CCGTCC,3434,Lab5,NEBNext,NA,4
552,iso_snp_central_offset_sum,PT_37_S5_L001_R1_001,224,Lab4,TrueSeq,NA,1
553,iso_snp_central_offset_sum,PT_38_S6_L001_R1_001,184,Lab4,TrueSeq,NA,2
554,iso_snp_central_offset_sum,PT_39_S7_L001_R1_001,201,Lab4,TrueSeq,NA,3
555,iso_snp_central_offset_sum,PT_40_S8_L001_R1_001,176,Lab4,TrueSeq,NA,4
560,iso_snp_central_offset_sum,Plas_N13_S13_L008_R1_001,360,Lab4,NEBNext,NA,1
561,iso_snp_central_offset_sum,Plas_N14_S14_L008_R1_001,387,Lab4,NEBNext,NA,2
562,iso_snp_central_offset_sum,Plas_N15_S15_L008_R1_001,437,Lab4,NEBNext,NA,3
563,iso_snp_central_offset_sum,Plas_N16_S16_L008_R1_001,301,Lab4,NEBNext,NA,4
580,iso_snp_central_offset_sum,PlasmaMP-TruSeq-1,647,Lab2,TrueSeq,NA,1
581,iso_snp_central_offset_sum,PlasmaMP-TruSeq-2,563,Lab2,TrueSeq,NA,2
582,iso_snp_central_offset_sum,PlasmaMP-TruSeq-3,406,Lab2,TrueSeq,NA,3
583,iso_snp_central_offset_sum,PlasmaMP-TruSeq-4,601,Lab2,TrueSeq,NA,4
584,iso_snp_central_offset_sum,PlasmaTruSeq-1_63786_CCGTCC_S5_L006_R1_001,502,Lab5,TrueSeq,NA,1
585,iso_snp_central_offset_sum,PlasmaTruSeq-2_63787_GTAGAG_S6_L006_R1_001,637,Lab5,TrueSeq,NA,2
586,iso_snp_central_offset_sum,PlasmaTruSeq-3_63788_GTCCGC_S7_L006_R1_001,653,Lab5,TrueSeq,NA,3
587,iso_snp_central_offset_sum,PlasmaTruSeq-4_63789_GTGAAA_S8_L006_R1_001,672,Lab5,TrueSeq,NA,4
588,iso_snp_central_offset_sum,TruSeq_Plasma_1_S123_L008_R1_001,6,Lab1,TrueSeq,NA,1
589,iso_snp_central_offset_sum,TruSeq_Plasma_2_S124_L008_R1_001,64,Lab1,TrueSeq,NA,2
590,iso_snp_central_offset_sum,TruSeq_Plasma_3_S125_L008_R1_001,141,Lab1,TrueSeq,NA,3
591,iso_snp_central_offset_sum,TruSeq_Plasma_4_S126_L008_R1_001,35,Lab1,TrueSeq,NA,4
635,iso_snp_central_supp_sum,DE-PlasmaMP-NEB-1_S1_R1_001,15319,Lab1,NEBNext,NA,1
636,iso_snp_central_supp_sum,DE-PlasmaMP-NEB-2_S2_R1_001,14639,Lab1,NEBNext,NA,2
637,iso_snp_central_supp_sum,DE-PlasmaMP-NEB-3_S3_R1_001,11535,Lab1,NEBNext,NA,3
638,iso_snp_central_supp_sum,DE-PlasmaMP-NEB-4_S4_R1_001,10629,Lab1,NEBNext,NA,4
639,iso_snp_central_supp_sum,DG-PlasmaMP-NEB-1_S18_R1_001,15394,Lab2,NEBNext,NA,1
640,iso_snp_central_supp_sum,DG-PlasmaMP-NEB-2_S19_R1_001,14510,Lab2,NEBNext,NA,2
641,iso_snp_central_supp_sum,DG-PlasmaMP-NEB-3_S20_R1_001,15085,Lab2,NEBNext,NA,3
642,iso_snp_central_supp_sum,DG-PlasmaMP-NEB-4_S21_R1_001,13775,Lab2,NEBNext,NA,4
651,iso_snp_central_supp_sum,NEB-Plasma-1_S85553_AGTCAA,11890,Lab5,NEBNext,NA,1
652,iso_snp_central_supp_sum,NEB-Plasma-3_S85555_ATGTCA,8994,Lab5,NEBNext,NA,3
653,iso_snp_central_supp_sum,NEB-Plasma-4_S85556_CCGTCC,12435,Lab5,NEBNext,NA,4
654,iso_snp_central_supp_sum,PT_37_S5_L001_R1_001,714,Lab4,TrueSeq,NA,1
655,iso_snp_central_supp_sum,PT_38_S6_L001_R1_001,733,Lab4,TrueSeq,NA,2
656,iso_snp_central_supp_sum,PT_39_S7_L001_R1_001,753,Lab4,TrueSeq,NA,3
657,iso_snp_central_supp_sum,PT_40_S8_L001_R1_001,681,Lab4,TrueSeq,NA,4
662,iso_snp_central_supp_sum,Plas_N13_S13_L008_R1_001,1176,Lab4,NEBNext,NA,1
663,iso_snp_central_supp_sum,Plas_N14_S14_L008_R1_001,1104,Lab4,NEBNext,NA,2
664,iso_snp_central_supp_sum,Plas_N15_S15_L008_R1_001,1293,Lab4,NEBNext,NA,3
665,iso_snp_central_supp_sum,Plas_N16_S16_L008_R1_001,896,Lab4,NEBNext,NA,4
682,iso_snp_central_supp_sum,PlasmaMP-TruSeq-1,2756,Lab2,TrueSeq,NA,1
683,iso_snp_central_supp_sum,PlasmaMP-TruSeq-2,2914,Lab2,TrueSeq,NA,2
684,iso_snp_central_supp_sum,PlasmaMP-TruSeq-3,2172,Lab2,TrueSeq,NA,3
685,iso_snp_central_supp_sum,PlasmaMP-TruSeq-4,2552,Lab2,TrueSeq,NA,4
686,iso_snp_central_supp_sum,PlasmaTruSeq-1_63786_CCGTCC_S5_L006_R1_001,2052,Lab5,TrueSeq,NA,1
687,iso_snp_central_supp_sum,PlasmaTruSeq-2_63787_GTAGAG_S6_L006_R1_001,2316,Lab5,TrueSeq,NA,2
688,iso_snp_central_supp_sum,PlasmaTruSeq-3_63788_GTCCGC_S7_L006_R1_001,2173,Lab5,TrueSeq,NA,3
689,iso_snp_central_supp_sum,PlasmaTruSeq-4_63789_GTGAAA_S8_L006_R1_001,2415,Lab5,TrueSeq,NA,4
690,iso_snp_central_supp_sum,TruSeq_Plasma_1_S123_L008_R1_001,101,Lab1,TrueSeq,NA,1
691,iso_snp_central_supp_sum,TruSeq_Plasma_2_S124_L008_R1_001,36701,Lab1,TrueSeq,NA,2
692,iso_snp_central_supp_sum,TruSeq_Plasma_3_S125_L008_R1_001,33419,Lab1,TrueSeq,NA,3
693,iso_snp_central_supp_sum,TruSeq_Plasma_4_S126_L008_R1_001,13847,Lab1,TrueSeq,NA,4
737,iso_snp_seed_sum,DE-PlasmaMP-NEB-1_S1_R1_001,20120,Lab1,NEBNext,NA,1
738,iso_snp_seed_sum,DE-PlasmaMP-NEB-2_S2_R1_001,19623,Lab1,NEBNext,NA,2
739,iso_snp_seed_sum,DE-PlasmaMP-NEB-3_S3_R1_001,16032,Lab1,NEBNext,NA,3
740,iso_snp_seed_sum,DE-PlasmaMP-NEB-4_S4_R1_001,14227,Lab1,NEBNext,NA,4
741,iso_snp_seed_sum,DG-PlasmaMP-NEB-1_S18_R1_001,21452,Lab2,NEBNext,NA,1
742,iso_snp_seed_sum,DG-PlasmaMP-NEB-2_S19_R1_001,19942,Lab2,NEBNext,NA,2
743,iso_snp_seed_sum,DG-PlasmaMP-NEB-3_S20_R1_001,20812,Lab2,NEBNext,NA,3
744,iso_snp_seed_sum,DG-PlasmaMP-NEB-4_S21_R1_001,19031,Lab2,NEBNext,NA,4
753,iso_snp_seed_sum,NEB-Plasma-1_S85553_AGTCAA,14644,Lab5,NEBNext,NA,1
754,iso_snp_seed_sum,NEB-Plasma-3_S85555_ATGTCA,10501,Lab5,NEBNext,NA,3
755,iso_snp_seed_sum,NEB-Plasma-4_S85556_CCGTCC,14632,Lab5,NEBNext,NA,4
756,iso_snp_seed_sum,PT_37_S5_L001_R1_001,639,Lab4,TrueSeq,NA,1
757,iso_snp_seed_sum,PT_38_S6_L001_R1_001,596,Lab4,TrueSeq,NA,2
758,iso_snp_seed_sum,PT_39_S7_L001_R1_001,671,Lab4,TrueSeq,NA,3
759,iso_snp_seed_sum,PT_40_S8_L001_R1_001,569,Lab4,TrueSeq,NA,4
764,iso_snp_seed_sum,Plas_N13_S13_L008_R1_001,1488,Lab4,NEBNext,NA,1
765,iso_snp_seed_sum,Plas_N14_S14_L008_R1_001,1426,Lab4,NEBNext,NA,2
766,iso_snp_seed_sum,Plas_N15_S15_L008_R1_001,1573,Lab4,NEBNext,NA,3
767,iso_snp_seed_sum,Plas_N16_S16_L008_R1_001,1086,Lab4,NEBNext,NA,4
784,iso_snp_seed_sum,PlasmaMP-TruSeq-1,2888,Lab2,TrueSeq,NA,1
785,iso_snp_seed_sum,PlasmaMP-TruSeq-2,3091,Lab2,TrueSeq,NA,2
786,iso_snp_seed_sum,PlasmaMP-TruSeq-3,2338,Lab2,TrueSeq,NA,3
787,iso_snp_seed_sum,PlasmaMP-TruSeq-4,2844,Lab2,TrueSeq,NA,4
788,iso_snp_seed_sum,PlasmaTruSeq-1_63786_CCGTCC_S5_L006_R1_001,3934,Lab5,TrueSeq,NA,1
789,iso_snp_seed_sum,PlasmaTruSeq-2_63787_GTAGAG_S6_L006_R1_001,4543,Lab5,TrueSeq,NA,2
790,iso_snp_seed_sum,PlasmaTruSeq-3_63788_GTCCGC_S7_L006_R1_001,4819,Lab5,TrueSeq,NA,3
791,iso_snp_seed_sum,PlasmaTruSeq-4_63789_GTGAAA_S8_L006_R1_001,4930,Lab5,TrueSeq,NA,4
792,iso_snp_seed_sum,TruSeq_Plasma_1_S123_L008_R1_001,21,Lab1,TrueSeq,NA,1
793,iso_snp_seed_sum,TruSeq_Plasma_2_S124_L008_R1_001,363,Lab1,TrueSeq,NA,2
794,iso_snp_seed_sum,TruSeq_Plasma_3_S125_L008_R1_001,643,Lab1,TrueSeq,NA,3
795,iso_snp_seed_sum,TruSeq_Plasma_4_S126_L008_R1_001,207,Lab1,TrueSeq,NA,4
839,isomiR_sum,DE-PlasmaMP-NEB-1_S1_R1_001,1125283,Lab1,NEBNext,NA,1
840,isomiR_sum,DE-PlasmaMP-NEB-2_S2_R1_001,1120496,Lab1,NEBNext,NA,2
841,isomiR_sum,DE-PlasmaMP-NEB-3_S3_R1_001,827407,Lab1,NEBNext,NA,3
842,isomiR_sum,DE-PlasmaMP-NEB-4_S4_R1_001,801184,Lab1,NEBNext,NA,4
843,isomiR_sum,DG-PlasmaMP-NEB-1_S18_R1_001,1179412,Lab2,NEBNext,NA,1
844,isomiR_sum,DG-PlasmaMP-NEB-2_S19_R1_001,1067627,Lab2,NEBNext,NA,2
845,isomiR_sum,DG-PlasmaMP-NEB-3_S20_R1_001,1098174,Lab2,NEBNext,NA,3
